,14711940a_metr,28325075a_metr,28325089a_metr,28325090a_metr,33188530a_metr,33188571a_metr,33188571b_metr,33188590a_metr,33188602a_metr,33188602b_metr,33188644a_metr,33188653a_metr,33188653b_metr,33188661a_metr,33188698a_metr,33188724a_metr,33188757a_metr,33188784a_metr,33188804a_metr,33188804b_metr,33188856a_metr,33188873a_metr,33188898a_metr,33188910a_metr,33188914a_metr,33188914b_metr,33188945a_metr,33188967a_metr,33188969a_metr,33188969b_metr,33707243a_metr
14711940a_metr,1.0000000000000002,0.4244885969868656,0.4191143496883435,0.1595283444084413,-0.1568169358920813,-0.14531037066758432,-0.15736134052111342,0.05207709603575323,0.1999054699326327,-0.050258208041391174,-0.3909631039860377,0.1261709754120777,-0.4547506861526156,-0.04329148774763018,0.21752506017754691,0.026437033172238153,-0.00509862233962798,0.12448976145042774,-0.12128685334242661,-0.29009476281371627,0.09282988089336135,0.1317021744536412,0.12557310606140365,0.2256819650044259,0.35116126244215884,0.009486528806068983,0.12102188277102083,0.4125455347279274,-0.13416026806063522,0.7526739225032237,0.008571522383611736
28325075a_metr,0.4244885969868656,1.0000000000000002,0.9958776313294758,0.41267263166652784,-0.13438860745024966,-0.0935706735751832,-0.17362488915447763,0.5772724894911897,-0.01503676438192069,-0.45914265995663595,-0.37757340200303574,-0.12751598112203022,-0.6519488546922367,0.5517498139686909,-0.11127529188452161,0.19724167816834304,0.0242616483923227,-0.17934291923475318,-0.22438655589076456,-0.16289344769694394,0.01748086889200795,0.527342247279224,-0.2064670459701185,-0.5196452910812432,-0.03043164314788072,-0.6730544714481189,0.11598848167919211,0.27534510516038385,-0.06588795066125305,0.41259637557146744,0.07502689206408522
28325089a_metr,0.4191143496883435,0.9958776313294758,1.0,0.4655736289741053,-0.13199583592994393,-0.09552564695757139,-0.16592689593060161,0.5703142759729988,-0.023878633657441715,-0.4324281404686758,-0.3664013185476051,-0.11366353111338635,-0.6475278679181531,0.54270555752821,-0.07949292182225606,0.19798116604272756,0.02837062345621518,-0.20828489504823888,-0.2040653734279624,-0.16464668022167028,0.002110819531451804,0.5186799511858458,-0.19065858430867946,-0.5235200556080327,-0.04689176696240181,-0.6709449107432601,0.11533491027647816,0.26511596793673436,-0.07769683377852322,0.41302175302041294,0.07243094619512146
28325090a_metr,0.1595283444084413,0.41267263166652784,0.4655736289741053,1.0,-0.05874718899060695,-0.02014300046936052,-0.09394915541008667,0.15104443175202692,0.06958157589519123,-0.07696378326757215,0.796394815277392,0.7810981931302223,0.5322103035190099,-0.2563441628598554,0.06440737058269645,-0.25313108755349906,0.44265274241267843,-0.5302881726851205,-0.20548619235382976,0.13857003564349232,-0.3165963574575913,-0.13645634611345925,-0.019687278077842027,0.420506521968923,0.2696385705440662,0.3678373997183346,0.06639673369832529,0.14355853677857083,0.3270221933111863,-0.19660004533768455,0.3317061907737964
33188530a_metr,-0.1568169358920813,-0.13438860745024966,-0.13199583592994393,-0.05874718899060695,1.0,0.9807037030447917,0.9709138042222635,-0.22388695519997687,-0.5238465642612071,-0.28845685709853963,-0.08120488359420489,-0.29483780104272195,0.1764986526982482,-0.17185043253360438,0.22507090790983653,-0.24588168736779073,-0.3389555335895047,0.4251000899343176,0.04692013713131897,0.05194495120516038,0.2291621652409446,0.05912298319234647,0.24945610295386236,0.20640993650111908,-0.05713545119727617,0.33767807428753016,0.09897128882579198,-0.46543318404146267,-0.3353256408912729,-0.1786815342005919,-0.13820939405298116
33188571a_metr,-0.14531037066758432,-0.0935706735751832,-0.09552564695757139,-0.02014300046936052,0.9807037030447917,1.0,0.9058282466215637,-0.21526895556833697,-0.4802422443544261,-0.3395383667113928,-0.051514310102910535,-0.2506224573771568,0.17232699149973008,-0.1498137708376632,0.22939357890270395,-0.2851181671571949,-0.3028862284248497,0.337308379867173,0.0211674928134155,0.06872605773585806,0.28547966514981743,0.03484265355569193,0.29149304410600163,0.18997825557782136,-0.07019484583318952,0.32463719188435547,0.055281674116859164,-0.4550124667858921,-0.33768014039382244,-0.15966359255610404,0.014772083660548585
33188571b_metr,-0.15736134052111342,-0.17362488915447763,-0.16592689593060161,-0.09394915541008667,0.9709138042222635,0.9058282466215637,1.0,-0.22246706629135404,-0.5413978761669777,-0.20814566737723803,-0.11079068103546169,-0.33040474986329593,0.17012934537125288,-0.18475429160565263,0.21884593219480253,-0.18840941887099588,-0.360533754404048,0.509833006299208,0.06803700703258336,0.042593346243541205,0.14462878148474123,0.079058633945734,0.18890510855680212,0.21053694694583547,-0.04698250304730058,0.33798999573698163,0.14918704320303955,-0.4599870067152133,-0.31727986574120687,-0.19791833674482046,-0.3153258421862484
33188590a_metr,0.05207709603575323,0.5772724894911897,0.5703142759729988,0.15104443175202692,-0.22388695519997687,-0.21526895556833697,-0.22246706629135404,0.9999999999999999,-0.07724018231277724,-0.16144483001377075,-0.6092972814872368,-0.3339839460058092,-0.7745159549413009,0.5056685460093319,0.08113940667358947,0.1891061130184994,-0.39042596580329564,-0.1442530036824394,-0.05847350150937029,-0.28944095339176296,0.2506549555727025,0.6778267469556692,-0.08666337325119812,-0.7382340062290195,-0.48614260120849717,-0.7151821446491313,-0.08738608569098405,0.16097265880186687,-0.3568351526518282,0.6317257444783448,-0.041928648324438864
33188602a_metr,0.1999054699326327,-0.01503676438192069,-0.023878633657441715,0.06958157589519123,-0.5238465642612071,-0.4802422443544261,-0.5413978761669777,-0.07724018231277724,1.0000000000000002,0.15815583190852506,0.115221737200963,0.20005207677501372,0.06608343806320453,-0.12127571117297102,0.2753564124236602,0.012073009919554935,0.1124015150759377,-0.31517254868669187,-0.1385791160335027,0.03311437632645504,0.03373835061519823,-0.33445122599487287,-0.459369912809401,-0.12384413198870002,-0.2584833703626491,-0.05756145873547033,0.016497453700162826,-0.018677658460184904,-0.20411726461404014,0.21619060255317585,-0.22981403028209793
33188602b_metr,-0.050258208041391174,-0.45914265995663595,-0.4324281404686758,-0.07696378326757215,-0.28845685709853963,-0.3395383667113928,-0.20814566737723803,-0.16144483001377075,0.15815583190852506,0.9999999999999999,0.021993157265124123,-0.018935076232106957,0.0871334450222841,0.13111283263745493,0.14507718254946933,-0.12065228494034538,0.41520491056075487,0.07110963843559111,-0.3005706268502636,-0.08004641366770503,-0.3513100589490978,-0.16381066769008654,-0.3157623173412107,-0.02463777711705267,-0.050110084386404276,0.11021146085962508,0.04788245477259759,-0.23137915965976258,0.06937887837222885,-0.3587254599787165,-0.0259813914739821
33188644a_metr,-0.39096310398603745,-0.3775734020030356,-0.3664013185476051,0.796394815277392,-0.081204883594205,-0.05151431010291065,-0.11079068103546169,-0.6092972814872367,0.115221737200963,0.021993157265124123,0.9999999999999998,0.9011682481325985,0.6865400530520115,-0.6114588963321981,-0.1363824586417847,-0.3321147184465601,0.28662302015491603,-0.16136134462209298,0.2978618012232271,0.19009576115222634,-0.24437951165518518,-0.5249593766359336,0.18991932063895747,0.45883563120302373,0.12832484024953986,0.6415678516165317,0.20751060013745043,-0.12204497131467672,-0.012966894127562694,-0.2032591379359366,0.41562356311366766
33188653a_metr,0.1261709754120777,-0.12751598112203022,-0.11366353111338635,0.7810981931302223,-0.29483780104272195,-0.2506224573771568,-0.33040474986329593,-0.3339839460058092,0.20005207677501372,-0.018935076232106957,0.9011682481325988,0.9999999999999998,0.3462712021535801,-0.36294658782803596,-0.0023499387690605095,-0.2709570895108398,0.28107682270936846,-0.17928745453805273,0.16729109787229646,0.10719839163657452,-0.16166038528849466,-0.2719375450840844,0.338964970755407,0.16706179706990962,-0.05416400641647025,0.34647237589335195,0.2096690979380036,0.10974282332902592,0.05380289884627788,-0.017181244861163115,0.3207291707489077
33188653b_metr,-0.4547506861526156,-0.6519488546922367,-0.6475278679181531,0.5322103035190099,0.1764986526982482,0.17232699149973008,0.17012934537125288,-0.7745159549413009,0.06608343806320453,0.0871334450222841,0.6865400530520114,0.3462712021535801,1.0000000000000002,-0.8544989890987734,-0.3700290694698626,-0.05645597335854915,0.17384736505975076,-0.20229062751539273,0.4337719676257799,0.20428494753258966,-0.2919293407477869,-0.7316419732514376,-0.2420721090983676,0.850785204197238,0.5002086486469485,0.7950595318500076,0.08873054737424148,-0.33833534951502753,-0.08296667263255676,-0.24873291416131826,0.4201216768262027
33188661a_metr,-0.04329148774763018,0.5517498139686909,0.54270555752821,-0.2563441628598554,-0.17185043253360438,-0.1498137708376632,-0.18475429160565263,0.5056685460093319,-0.12127571117297102,0.13111283263745493,-0.611458896332198,-0.36294658782803596,-0.8544989890987734,1.0000000000000002,0.19255641781961128,-0.046246543839747724,0.08731072703172063,0.19060074717590045,-0.4966643525285096,0.003852892035753207,0.08619754530240384,0.4208035591784397,-0.013522909339807512,-0.8143559392167709,-0.2894352989143537,-0.8137129907665609,-0.03685220083712742,0.19138035314195717,0.22477252769517603,-0.03407739534231968,-0.18436493440596993
33188698a_metr,0.21752506017754691,-0.11127529188452161,-0.07949292182225606,0.06440737058269645,0.22507090790983653,0.22939357890270395,0.21884593219480253,0.08113940667358947,0.2753564124236602,0.14507718254946933,-0.1363824586417848,-0.0023499387690605095,-0.3700290694698626,0.19255641781961128,1.0,-0.1942756639172868,-0.27769440804461365,0.12355520307253251,-0.12328236288945006,-0.1547254363341464,0.14493318951289447,0.14800611297568617,0.22862428665881543,-0.49439963585711544,-0.7324126587753064,-0.035700500425569,0.05124736727789047,-0.4045154887088452,-0.4819816781629959,-0.012072179081715635,-0.1695508021246589
33188724a_metr,0.0264370331722382,0.19724167816834304,0.1979811660427276,-0.2531310875534988,-0.24588168736779092,-0.2851181671571948,-0.1884094188709958,0.1891061130184995,0.012073009919554935,-0.12065228494034538,-0.3321147184465601,-0.27095708951083985,-0.056455973358549155,-0.04624654383974775,-0.1942756639172868,1.0000000000000002,-0.6355731522806412,-0.023260848595537797,0.6100258020604773,-0.016858686243659275,0.4532995288512381,0.2845577908497781,-0.15131584968494283,-0.025683931888983866,-0.006959365258586032,-0.3414344018600899,-0.13014007857710688,0.16345786070485482,-0.0832673478370246,0.3999266336115512,-0.2765822645273283
33188757a_metr,-0.00509862233962798,0.0242616483923227,0.02837062345621518,0.44265274241267843,-0.3389555335895047,-0.3028862284248497,-0.360533754404048,-0.39042596580329564,0.1124015150759377,0.41520491056075487,0.28662302015491603,0.28107682270936846,0.17384736505975076,0.08731072703172063,-0.27769440804461365,-0.6355731522806412,1.0,-0.2716472612574925,-0.6378234439486635,0.16082416424008844,-0.6808683875200902,-0.49880357171919243,-0.21302563905638694,0.3045429065903291,0.6139148162009581,0.1228350647419342,0.10307454032754353,0.39074042259366376,0.6903861541436066,-0.3037435498393247,0.5064322420355657
33188784a_metr,0.12448976145042774,-0.17934291923475318,-0.20828489504823888,-0.5302881726851205,0.4251000899343176,0.337308379867173,0.509833006299208,-0.1442530036824394,-0.31517254868669187,0.07110963843559111,-0.16136134462209295,-0.17928745453805273,-0.20229062751539273,0.19060074717590045,0.12355520307253251,-0.023260848595537748,-0.2716472612574925,1.0,-0.033540260285470795,-0.11108128088389825,0.07614706798792413,0.21705683881614884,-0.11687658235798845,-0.1564117565725791,0.0019457939948424872,-0.14366821854619102,0.019869899009507898,-0.2464992674357095,-0.3001898478108243,0.029196767926005018,-0.6217196482445546
33188804a_metr,-0.12128685334242661,-0.22438655589076456,-0.2040653734279624,-0.20548619235382976,0.04692013713131897,0.0211674928134155,0.06803700703258336,-0.05847350150937029,-0.1385791160335027,-0.3005706268502636,0.2978618012232271,0.16729109787229646,0.4337719676257799,-0.4966643525285096,-0.12328236288945006,0.6100258020604763,-0.6378234439486635,-0.033540260285470795,1.0000000000000002,0.13182709569861228,0.4674937944440922,0.07514135485957465,0.10465654290286949,0.17626065351377757,-0.16829837350336246,0.22590129755474772,-0.28251318528072816,-0.20709258365268582,-0.17957177548239472,-0.07850708991354369,-0.1341282634230044
33188804b_metr,-0.29009476281371627,-0.16289344769694394,-0.16464668022167028,0.13857003564349232,0.05194495120516038,0.06872605773585806,0.042593346243541205,-0.28944095339176296,0.03311437632645504,-0.08004641366770503,0.19009576115222634,0.10719839163657452,0.20428494753258966,0.003852892035753207,-0.1547254363341464,-0.016858686243659275,0.16082416424008844,-0.11108128088389825,0.13182709569861228,1.0,-0.22862078462197286,-0.5873188195201602,-0.029560723375060684,-0.02664838457316909,-0.03468487116232135,-0.06288397595498622,-0.2148380815111406,0.09317678192465834,0.4790515682390075,-0.49554343463136025,0.255941423569071
33188856a_metr,0.09282988089336137,0.017480868892007968,0.0021108195314518386,-0.3165963574575911,0.22916216524094465,0.28547966514981726,0.1446287814847412,0.2506549555727027,0.03373835061519823,-0.3513100589490978,-0.24437951165518518,-0.1616603852884946,-0.29192934074778687,0.08619754530240381,0.1449331895128945,0.453299528851238,-0.6808683875200907,0.0761470679879241,0.46749379444409234,-0.22862078462197286,0.9999999999999999,0.30840550552796253,0.29756596922583084,-0.3543247862066047,-0.525663680920708,-0.23528370684416158,-0.14239849539356172,-0.11712663792996246,-0.3043293403145139,0.20410004760661535,-0.2585309501958006
33188873a_metr,0.1317021744536412,0.527342247279224,0.5186799511858458,-0.13645634611345925,0.05912298319234647,0.03484265355569193,0.079058633945734,0.6778267469556692,-0.33445122599487287,-0.16381066769008654,-0.5249593766359337,-0.2719375450840844,-0.7316419732514376,0.4208035591784397,0.14800611297568617,0.28455779084977817,-0.49880357171919243,0.21705683881614884,0.07514135485957465,-0.5873188195201602,0.3084055055279625,1.0,0.05693736965279357,-0.5065232415722831,-0.27605684179098555,-0.49260718802095965,-0.0034317051291122124,0.19390031541806252,-0.30088761236922174,0.6215396655578381,-0.18226436317920452
33188898a_metr,0.12557310606140365,-0.2064670459701185,-0.19065858430867946,-0.019687278077842027,0.24945610295386236,0.29149304410600163,0.18890510855680212,-0.08666337325119812,-0.459369912809401,-0.3157623173412107,0.1899193206389575,0.338964970755407,-0.2420721090983676,-0.013522909339807512,0.22862428665881543,-0.15131584968494308,-0.21302563905638694,-0.11687658235798845,0.10465654290286949,-0.029560723375060684,0.2975659692258306,0.05693736965279357,1.0,-0.24941235322805327,-0.43953995896090875,0.09939720552652186,0.1780629588732506,0.09889740083813357,0.14264962633144374,-0.17970810616409966,0.2863469790687587
33188910a_metr,0.2256819650044259,-0.5196452910812432,-0.5235200556080327,0.420506521968923,0.20640993650111908,0.18997825557782136,0.21053694694583547,-0.7382340062290195,-0.12384413198870002,-0.02463777711705267,0.45883563120302345,0.16706179706990962,0.850785204197238,-0.8143559392167709,-0.49439963585711544,-0.025683931888983724,0.3045429065903291,-0.1564117565725791,0.17626065351377757,-0.02664838457316909,-0.35432478620660474,-0.5065232415722831,-0.24941235322805327,0.9999999999999998,0.811325427770274,0.7776337160192714,0.16643324688778488,-0.01143514971522965,0.07962062141992018,0.02999829484630447,0.3801950467451739
33188914a_metr,0.35116126244215884,-0.03043164314788072,-0.04689176696240181,0.2696385705440662,-0.05713545119727617,-0.07019484583318952,-0.04698250304730058,-0.48614260120849717,-0.2584833703626491,-0.050110084386404276,0.12832484024953988,-0.05416400641647025,0.5002086486469485,-0.2894352989143537,-0.7324126587753064,-0.006959365258585818,0.6139148162009581,0.0019457939948424872,-0.16829837350336246,-0.03468487116232135,-0.525663680920708,-0.27605684179098555,-0.43953995896090875,0.811325427770274,1.0,0.3455725438259808,0.10427812419972916,0.3320381307840076,0.38708156173013303,0.12012079814154299,0.3113706865036358
33188914b_metr,0.009486528806068883,-0.6730544714481187,-0.6709449107432602,0.36783739971833457,0.33767807428753055,0.3246371918843553,0.3379899957369817,-0.7151821446491313,-0.05756145873547033,0.11021146085962508,0.6415678516165317,0.34647237589335184,0.7950595318500077,-0.8137129907665609,-0.03570050042556896,-0.3414344018600899,0.12283506474193433,-0.14366821854619102,0.22590129755474747,-0.06288397595498622,-0.23528370684416167,-0.49260718802095965,0.0993972055265218,0.7776337160192714,0.3455725438259806,1.0000000000000004,0.1950170943729178,-0.271242395862173,-0.160581360416179,-0.12688068977805572,0.32328650955910554
33188945a_metr,0.12102188277102083,0.11598848167919211,0.11533491027647816,0.06639673369832529,0.09897128882579198,0.055281674116859164,0.14918704320303955,-0.08738608569098405,0.016497453700162826,0.04788245477259759,0.2075106001374504,0.2096690979380036,0.08873054737424148,-0.03685220083712742,0.05124736727789047,-0.13014007857710688,0.10307454032754353,0.019869899009507898,-0.28251318528072816,-0.2148380815111406,-0.14239849539356175,-0.0034317051291122124,0.1780629588732506,0.16643324688778488,0.10427812419972916,0.19501709437291784,1.0,-0.17201546465583323,-0.09759700191594253,-0.12550883006170138,0.006315047249948274
33188967a_metr,0.4125455347279274,0.27534510516038385,0.26511596793673436,0.14355853677857083,-0.46543318404146267,-0.4550124667858921,-0.4599870067152133,0.16097265880186687,-0.018677658460184904,-0.23137915965976258,-0.12204497131467672,0.10974282332902592,-0.33833534951502753,0.19138035314195717,-0.4045154887088452,0.16345786070485488,0.39074042259366376,-0.2464992674357095,-0.20709258365268582,0.09317678192465834,-0.11712663792996242,0.19390031541806252,0.09889740083813357,-0.01143514971522965,0.3320381307840076,-0.2712423958621732,-0.17201546465583323,1.0,0.6672864881662277,0.4512749269131705,0.06797466944178639
33188969a_metr,-0.13416026806063522,-0.06588795066125305,-0.07769683377852322,0.3270221933111863,-0.3353256408912729,-0.33768014039382244,-0.31727986574120687,-0.3568351526518282,-0.20411726461404014,0.06937887837222885,-0.01296689412756271,0.05380289884627788,-0.08296667263255676,0.22477252769517603,-0.4819816781629959,-0.08326734783702447,0.6903861541436066,-0.3001898478108243,-0.17957177548239472,0.4790515682390075,-0.30432934031451414,-0.30088761236922174,0.14264962633144374,0.07962062141992018,0.38708156173013303,-0.16058136041617907,-0.09759700191594253,0.6672864881662277,1.0,-0.30619303325944325,0.2402628905997477
33188969b_metr,0.7526739225032237,0.41259637557146744,0.41302175302041294,-0.19660004533768455,-0.1786815342005919,-0.15966359255610404,-0.19791833674482046,0.6317257444783448,0.21619060255317585,-0.3587254599787165,-0.2032591379359366,-0.017181244861163115,-0.24873291416131826,-0.03407739534231968,-0.012072179081715635,0.3999266336115512,-0.3037435498393247,0.029196767926005018,-0.07850708991354369,-0.49554343463136025,0.20410004760661535,0.6215396655578381,-0.17970810616409966,0.02999829484630447,0.12012079814154299,-0.12688068977805572,-0.12550883006170138,0.4512749269131705,-0.30619303325944325,1.0000000000000002,-0.1340036692687429
33707243a_metr,0.00857152238361189,0.07502689206408535,0.0724309461951215,0.3317061907737964,-0.13820939405298116,0.014772083660548477,-0.3153258421862482,-0.04192864832443885,-0.22981403028209793,-0.0259813914739821,0.41562356311366766,0.3207291707489077,0.42012167682620244,-0.18436493440596993,-0.16955080212465892,-0.27658226452732837,0.5064322420355658,-0.6217196482445546,-0.13412826342300446,0.255941423569071,-0.2585309501958006,-0.18226436317920458,0.2863469790687589,0.3801950467451738,0.31137068650363575,0.32328650955910565,0.00631504724994831,0.06797466944178629,0.24026289059974765,-0.1340036692687429,1.0
