country,iso3c,date,CO2footCum,PfootPerCap,NfootPerCap,H2OfootPerCap,ehanppPerCap,EFfootPerCap,MFfootPerCap,LSval,LEval,NUval,SAval,INval,ENval,EDval,SSval,DQval,EQval,EMval
World,WLD,1992,1.11,2.07,1.88,NA,0.67,1.25,0.89,NA,0.8261700024158813,0.9237696118678241,0.5572152998779725,0.33161691901076273,0.7915480260808104,0.5659551679224732,NA,0.7842924964783727,0.7918558743163134,1.0386350357470822
World,WLD,1993,1.14,1.89,1.87,NA,0.66,1.25,0.89,NA,0.8303689542725842,0.9261425300894233,0.5617592539076073,0.3295100994989533,0.7871791119703991,0.5795390564651469,NA,0.7833767046335626,0.7769242003875403,1.028483508282548
World,WLD,1994,1.16,1.9,1.86,NA,0.67,1.26,0.92,NA,0.8329585999121032,0.9468787994698061,0.5687066582952672,0.3360335247637757,0.7885729180147254,0.590567476954256,NA,0.782505796936467,0.7651377962697948,1.0232541913199416
World,WLD,1995,1.19,1.97,1.96,NA,0.67,1.29,0.95,NA,0.8364775441478062,0.9650790730124238,0.5759748242463888,0.33930514251797944,0.7937162808259792,0.6031793551945482,NA,0.7816625324823913,0.7554192728225375,1.0167289561194321
World,WLD,1996,1.22,2.03,2.04,NA,0.67,1.3,0.98,NA,0.8428936090447606,0.9755002849966048,0.5819520555517133,0.3422677529131072,0.7999199763136581,0.6182805198539723,NA,0.7808441399126115,0.751561926092018,1.0150345932870681
World,WLD,1997,1.25,2.18,2.04,NA,0.67,1.32,1,NA,0.8498635341608298,0.9856893953398634,0.5875851549973623,0.3462754828965275,0.8070949712869415,0.6271776195121785,NA,0.7688516938300145,0.7432806668270656,1.0158313123622862
World,WLD,1998,1.28,2.21,2.09,NA,0.66,1.31,1.03,NA,0.8538406808921534,0.9999040080793211,0.5935846234240681,0.34847278327311587,0.8124881157550541,0.632391686229902,NA,0.755609689570459,0.7364862823359264,1.0104670942458978
World,WLD,1999,1.31,2.21,2.14,NA,0.66,1.32,1.05,NA,0.8589764658999843,1.0106648972953851,0.6017494515854315,0.3473844982823468,0.8225141357537218,0.6344613077712038,NA,0.7598926399294613,0.7269961270924865,1.004216194289321
World,WLD,2000,1.34,2.14,2.08,NA,0.67,1.34,1.07,NA,0.8657593296123807,1.020858001959835,0.6076773000534035,0.35558014956276207,0.8236791192899565,0.6391768255360109,NA,0.7640100040647992,0.7161126845342208,1.0091176919068798
World,WLD,2001,1.37,2.19,2.12,NA,0.67,1.36,1.09,NA,0.8694881496572783,1.0187950596864996,0.613617997667464,0.367276789456821,0.8214368619506404,0.644540501726845,NA,0.7550041425567036,0.7024773515199977,1.0096742897114876
World,WLD,2002,1.41,2.22,2.16,NA,0.68,1.37,1.1,NA,0.8757633737404427,1.0208390503711346,0.6196420553696986,0.3775058213415137,0.837569385070934,0.655361165864253,NA,0.7423890470078848,0.6886196657287728,1.000324619849252
World,WLD,2003,1.44,2.21,2.15,NA,0.69,1.41,1.16,NA,0.8803981343970654,1.0268281193606483,0.6277730838348824,0.38849031170130494,0.8438142098578642,0.6659850695680649,NA,0.7075155793176212,0.6768470224852616,0.9976208168099086
World,WLD,2004,1.47,2.3,2.2,NA,0.69,1.46,1.23,NA,0.886410391470659,1.0371157448246027,0.6341437949749676,0.40272084623742505,0.8467727647341929,0.6788227462060461,NA,0.7125164975978084,0.6655949005967758,1.004315157163682
World,WLD,2005,1.51,2.26,2.21,NA,0.71,1.5,1.28,NA,0.8930534907973294,1.0491309863196299,0.6400719163663628,0.41759719985679017,0.8499860086887122,0.6915332058619369,NA,0.7223945798505483,0.6651394599302385,1.0088900517103834
World,WLD,2006,1.55,2.31,2.26,NA,0.71,1.54,1.34,NA,0.8992764956139674,1.0626608284138108,0.6479117546278134,0.43069857461565386,0.8595884249677253,0.7060911048080358,NA,0.7112625813543901,0.663841872919051,1.0200916395147688
World,WLD,2007,1.59,2.41,2.33,NA,0.72,1.58,1.4,NA,0.9073616630582452,1.0873196656847073,0.6536449851641362,0.44657065606278884,0.8711641402743092,0.7286102929135221,NA,0.7094846419903317,0.6620931305318932,1.0295507165666076
World,WLD,2008,1.63,2.1,2.3,NA,0.73,1.57,1.43,NA,0.9144123500252112,1.102415898640019,0.6598922917657224,0.4572544161185679,0.8686766796454746,0.7481836813260964,NA,0.7147089883401402,0.6614207966527361,1.0311943608236018
World,WLD,2009,1.66,2.15,2.33,NA,0.73,1.55,1.43,NA,0.9208839284291104,1.103270625670356,0.6672922566544763,0.4696968403782633,0.8766997343191983,0.7633544547517129,NA,0.7045828089500351,0.6597857175403244,1.0119048206051668
World,WLD,2010,1.71,2.42,2.38,NA,0.75,1.62,1.52,NA,0.9278422932478538,1.1235167118003455,0.6755486950719813,0.48871746402019706,0.8812354508488316,0.7827589120053666,NA,0.6994601674147553,0.6610361505838867,1.015637984831823
World,WLD,2011,1.75,2.42,2.38,NA,0.76,1.64,1.6,NA,0.9343444164943455,1.1387939620042584,0.6815785915684633,0.505567152026243,0.8681356469207481,0.7967629230480177,NA,0.7042338235936968,0.6561762117207742,1.0199758654759505
World,WLD,2012,1.79,2.42,2.38,NA,0.76,1.64,1.62,NA,0.9411545675311176,1.1449939725105445,0.6867860511384118,0.5188165288456441,0.8959486920566012,0.8069120409341033,NA,0.7102626063919925,0.6639086716679179,1.0168658045428263
World,WLD,2013,1.84,2.42,2.38,NA,0.76,1.64,1.67,NA,0.9465377880389687,1.1511481496710552,0.6924492996770287,0.5416977380268903,0.8994917643708449,0.8243228830343141,NA,0.7078191615191056,0.6711597686428399,1.0171403718740428
World,WLD,2014,1.88,2.42,2.38,NA,0.76,1.64,1.7,NA,0.9512830011214716,1.15726955838519,0.6994631544153107,0.5538762228359119,0.9034818164023026,0.840158726113979,NA,0.718602607559182,0.6722216102932556,1.021675425200297
World,WLD,2015,1.92,2.42,2.38,NA,0.76,1.64,1.74,NA,0.9565461792249025,1.1650998731616933,0.7019485112118261,0.563611638689594,0.9174589378198004,0.8439290847308304,NA,0.7156508310226474,0.6716412038665744,1.0195276156566184
